index,x,y,z
0,-0.80245423,0.11354637,0.19565752
1,-0.6553283,0.050722122,0.30430642
2,-0.8383594,0.039521217,0.06350243
3,-0.71381724,-0.14048767,-0.16542676
4,-0.4775764,-0.020539284,-0.05151823
5,-0.017616391,-0.097340584,0.07227898
6,0.078148484,0.13508892,-0.15982756
7,-5.885909,3.304143,0.04225558
8,-5.805972,-0.12160683,-0.45346928
9,-2.4399796,-2.788159,0.1627317
10,-0.31924772,-4.0853634,0.64394563
11,2.3309622,-3.8597612,-0.8769799
12,6.3198175,-1.3177891,-0.91638315
13,2.2235365,0.64584637,4.3553295
14,-0.8507128,3.7316628,3.948914
15,-5.2723694,4.6093836,2.6145234
16,-5.967556,2.7603884,1.552345
17,-5.1327,-0.015134811,-1.0829685
18,-1.7982405,-3.6150522,0.27529883
19,-0.98967886,-2.7951832,-0.8766525
20,-0.93003035,-0.18008327,0.81162095
21,-0.6074747,-0.05756855,0.34178972
22,-0.2331394,-0.45764732,0.10621667
23,-0.62731135,-0.14258194,0.20656514
