index,x,y,z
0,-0.025872052,-0.011371613,-0.026670218
1,-0.15748489,-0.07744789,-0.2049911
2,0.030983388,-0.067964554,0.16594791
3,-0.019052505,-0.025785446,-0.26167583
4,0.007834017,-0.10464096,0.08270073
5,0.11461586,0.06944275,-0.31570792
6,-0.009290338,0.0095796585,0.0664196
7,0.25484735,0.08030796,-0.5452645
8,-0.35863864,1.6323195,-0.31784368
9,-1.3785156,4.4542246,-0.16236734
10,-1.1126318,3.410307,1.3820632
11,-0.4843958,-1.2416105,2.3520806
12,0.17040357,-5.4734707,-1.5134317
13,1.1738392,-2.7362275,0.35403013
14,-0.52950114,-1.2140932,0.05398822
15,1.7700065,-3.0859141,1.9887795
16,2.836609,-4.2293944,-0.45060563
17,5.4249454,-3.7845864,-1.6245852
18,-4.4997873,2.9610682,4.677167
19,-5.860238,5.984582,-0.17257512
20,-3.9110281,3.8051863,-0.35275197
21,-2.849033,5.758687,-0.24870098
22,-5.772858,4.7599306,0.7705531
23,-4.603698,-1.0112677,-0.063369036
24,-1.6898308,-5.435708,-1.1034333
25,2.214254,-5.3132267,0.758271
26,1.3431096,-1.8895946,-0.82034314
27,0.6044886,-0.8613844,0.06958628
28,-0.26879072,0.48714256,-0.77647066
29,0.012075901,-0.26877403,0.37672162
30,-0.10406566,0.017151833,-0.17888021
31,-0.3777113,0.03279209,0.27929866
32,0.13167787,0.0149383545,-0.5848286
33,0.05751252,0.050474167,-0.25958574
34,0.057459593,-0.1468668,0.22686744
