index,x,y,z
0,-0.05772102,-0.043381214,-0.13382673
1,-0.07999265,0.022380352,-0.5339184
2,-0.41390193,-0.0001449585,-0.2758565
3,0.1669079,0.3949132,0.9014292
4,-4.0697284,4.4957542,9.430826
5,-1.2188575,0.77213,5.7411504
6,-1.8329556,-4.071486,-2.4091625
7,-0.26140344,-6.6291065,2.4522805
8,1.3187537,-3.5873976,-1.5180696
9,1.4132022,-2.8320017,-1.7612513
10,1.574151,-7.1832137,-1.6326965
11,3.0835936,-5.886781,1.0956516
12,-1.5503349,4.741469,-1.0840197
13,-9.880181,6.0362253,6.81914
14,-4.034214,6.222499,2.1727576
15,-7.279221,5.7023144,6.341298
16,-3.8590364,-6.774864,0.94225395
17,-0.1129148,-8.537445,-0.48101342
18,1.6306536,-3.5147524,0.3782736
19,-0.34185898,0.07349014,-0.6504619
20,-0.9619323,0.73450184,-0.8021226
21,-0.40937385,-0.4222746,0.47994292
22,-0.043739915,-0.15391159,-0.3780022
23,-0.3361804,0.034404755,-0.4672707
