index,x,y,z
0,-0.015848875,-0.02984047,-0.25740576
1,0.24798083,0.057434082,0.057510376
2,-0.09228611,-0.16441822,-0.17297125
3,0.500425,-0.28118658,-0.07567215
4,0.19831514,2.538289,0.6651859
5,-2.9306726,5.720052,5.761669
6,-2.5936933,-1.6562624,4.893442
7,-0.723063,-7.4216595,-1.5074605
8,1.149494,-8.844083,0.36251056
9,1.7892352,-6.1895065,-4.850397
10,1.376239,2.3988295,-1.6362586
11,-0.8606607,6.8382263,2.3688898
12,7.2305593,-0.08115959,0.86214733
13,-1.637538,0.23743439,1.0962062
14,-7.5233603,2.4270735,5.0700207
15,-1.2290003,1.2767849,1.7882935
16,-1.4276751,-4.073242,-1.0055302
17,1.1462696,-7.4481063,-2.210409
18,2.542336,-7.0424185,-1.3944777
19,1.7447765,0.4309888,0.35041094
20,-3.7075121,6.118178,3.341598
21,-1.2457123,3.089003,2.160461
22,-0.6096897,0.35443974,0.15558147
23,0.48558712,-0.28516388,-0.22381735
24,0.016353369,0.09401083,-0.17850208
25,0.1630354,-0.1553545,0.20203018
26,0.02346778,-0.033492565,0.3566661
27,0.04616165,-0.041227818,-0.12321377
28,0.012024641,-0.045864105,0.14213705
