index,x,y,z
0,0.021558285,-0.051372528,-0.12948251
1,-0.087147474,-0.069233894,0.107023954
2,-0.34036005,-0.0033445358,-0.091219425
3,-0.14429319,0.029623985,-0.34995103
4,0.38463014,-0.40001678,-0.6535382
5,0.061425567,0.5891218,-0.5671263
6,-1.2695984,4.256877,1.9968672
7,-2.2459044,3.887411,2.8927188
8,-0.10026315,-0.014309883,1.3781526
9,1.8985584,-3.2688665,5.3342423
10,5.272223,-6.690284,1.380537
11,3.322963,-6.962075,-0.7693485
12,-0.7595482,-3.4497366,-1.7484709
13,-8.83868,-0.76238537,-0.555393
14,-7.5163283,0.7270355,0.5426937
15,-4.193083,1.3574953,1.0729343
16,-0.98654866,-0.02421379,1.671842
17,4.8994107,-2.8685927,0.73739016
18,3.4990582,-2.2071223,-0.27162617
19,4.1386213,-2.89118,-1.7698511
20,2.2724497,-3.569335,0.42012763
21,-0.0366413,-2.7516851,1.1566336
22,-2.3003998,2.1318293,1.4410865
23,-3.2729,4.4479485,-1.161016
24,-1.1769135,0.6136484,-0.47654557
25,0.21695614,-0.07575989,0.16257024
26,-0.079099655,0.04638195,-0.22905469
27,-0.1487701,-0.054089546,-0.07280564
28,-0.27473664,-0.1295166,-0.09797716
29,-0.075301886,0.009282112,-0.1893053
30,-0.05917859,-0.114274025,0.039108276
