index,x,y,z
0,-0.15378952,-0.14961004,0.45804882
1,-0.0066592693,-0.094240665,0.09167385
2,0.21440732,-0.12118673,-0.019958973
3,0.24803364,-0.05188036,0.27153158
4,0.18538547,-0.12974787,0.40721178
5,0.07096481,-0.12439203,0.15123844
6,0.33064258,-0.1681819,0.10392046
7,0.09720731,-0.07810879,0.33271837
8,0.0745666,-0.05095482,0.15317822
9,0.036560535,-0.07267666,-0.056743145
10,0.065956116,-0.10866356,0.035711765
11,0.060772657,-0.09024954,0.26670885
12,0.09957886,-0.14188242,0.20005894
13,0.073195696,-0.046759605,-0.023093224
14,0.14108038,-0.08085823,0.1828289
15,-0.03144169,-0.081272125,0.24289799
16,-1.045181,0.04143238,-0.053618908
17,-1.2668893,0.3583126,-2.5915556
18,-1.006551,-1.261127,-2.9016778
19,3.0281541,-1.9932365,-3.7809973
20,3.8404613,-1.6637901,-1.12602
21,2.6489873,-1.0511538,3.5938172
22,-0.8159766,-1.0561392,5.4064875
23,-3.9650545,-2.975893,3.1335077
24,-7.7981954,-3.1811197,3.051251
25,-7.6620655,-7.233773,3.2815318
26,-2.9467888,-8.467029,1.1224165
27,-1.779222,-4.7796736,-2.4875703
28,-1.8136139,-4.972536,-1.7348528
29,0.16602623,-3.5335445,-2.6210053
30,0.5333823,-2.3201504,-1.297627
31,2.0704079,-0.93589544,-0.08057022
32,1.4890637,-0.27292585,1.2225161
33,0.52663475,-0.0009613037,0.900403
34,0.30228543,-0.34482288,0.5002613
35,0.110803366,-0.1399908,-0.030894756
36,0.23202455,-0.06868029,0.1450162
37,0.1463635,-0.035767555,0.2530365
38,0.14220536,-0.09859991,0.4067855
39,0.07353091,-0.27065277,0.10510206
