index,x,y,z
0,-0.0023505688,0.021056175,-0.06060505
1,0.027151704,-0.08966732,-0.1054554
2,0.03644383,0.015833378,-0.022069931
3,-0.23450911,-0.07052326,0.07038689
4,0.08418405,-0.021509647,-0.10437775
5,-0.12212098,-0.011915207,0.07031059
6,-0.0005557537,-0.12187338,-0.071107864
7,-0.23596144,0.10241985,-0.15403509
8,-0.5881214,0.73314524,-2.115375
9,-2.7489305,0.4773426,-4.267868
10,0.11867988,-0.38099575,-5.4165688
11,4.1549325,-1.4083849,-4.061835
12,4.280589,-4.1342764,4.1512713
13,0.45122576,-2.573452,7.027979
14,-5.367017,-4.00324,4.256536
15,-9.877254,-6.3816934,1.664505
16,-3.615622,-6.364894,-0.20516205
17,-4.2071924,-5.044277,-1.099628
18,-1.8563699,-5.327448,-0.10613394
19,-0.022024333,-4.3406425,-1.3988721
20,2.2394075,-1.991374,-1.0538216
21,2.0640152,-0.03354931,-0.45833635
22,0.10646343,0.1460247,0.24103832
23,-0.4542427,0.023583412,0.0652833
24,-0.05693084,-0.12192154,-0.22010756
25,0.056245565,-0.055218697,0.1836381
26,-0.7129803,0.12587357,0.028137684
27,0.5645,-0.16599655,-0.43735027
28,-0.15980136,-0.00050354004,0.11851025
29,-0.18415827,-0.063682556,0.055476665
