index,x,y,z
0,0.11900711,0.022666454,-0.018140316
1,0.024592638,0.032262325,-0.07893038
2,0.12256575,-0.020734787,-0.1957035
3,0.04334116,0.14398909,-0.15279531
4,-0.10320854,-0.002339363,0.15038633
5,0.21561563,-0.0003876686,-0.102324486
6,0.14847755,0.078967094,-0.12272787
7,-0.008428574,0.05201292,-0.16820765
8,0.13816118,0.083408356,0.032859325
9,0.3924123,0.55874586,-0.49007034
10,-2.3654308,4.098631,2.016276
11,-2.8709323,2.0196686,2.6983767
12,-0.020772874,-2.9083843,0.47308254
13,-1.1801288,-6.7035103,-0.6632209
14,2.227887,-7.8791156,-1.3328087
15,1.420969,-5.011419,-3.0864034
16,1.8321207,0.09622574,-1.7100377
17,-2.6358237,6.895426,-0.6730218
18,-7.841399,7.418903,2.6067953
19,-1.2394593,-1.629808,-0.10985088
20,0.015933275,-3.9504614,-0.2776556
21,-0.9479153,-2.064834,-1.0643382
22,0.26858532,0.61239624,-1.4172745
23,2.0914402,0.51300335,1.6283517
24,0.9524138,0.06518555,0.5657773
25,0.0448457,0.04113865,-0.34564972
26,0.09012592,0.24288464,0.101430416
27,-0.026041746,0.20136929,-0.3360567
28,0.108020425,0.01679802,-0.17645311
29,0.031612158,0.113983154,-0.1443901
30,0.07154322,0.079782486,-0.4849367
31,0.08616066,0.029117584,0.32859993
32,-0.031171918,-0.066420555,-0.20624733
33,-0.115670204,0.10781765,-0.24081993
34,0.0778873,0.016269684,-0.016637802
35,0.08908713,-0.011814117,-0.100140095
36,0.032295942,0.08132172,-0.21257639
