index,x,y,z
0,-0.06740892,-0.10413933,-0.13587976
1,-0.2853731,0.0071926117,-0.18441892
2,-0.20661938,-0.04179573,-0.116964936
3,0.009301305,0.017004013,0.06744683
4,-0.61141264,-0.08331394,-0.09850764
5,0.15037721,-0.0057268143,-0.79139584
6,-0.6569768,-0.054003716,0.06913924
7,-0.27932346,-0.12083149,-0.2252971
8,0.61706746,-0.18384075,-0.28643918
9,-1.2397317,0.3724537,0.6047176
10,-0.0017821789,-0.43931866,-0.34700876
11,-0.19702041,0.138031,-0.12484872
12,-0.04852593,-0.32850266,0.019025803
13,-0.11964309,0.06576538,-0.47420174
14,-0.10854411,-0.27387714,0.0011098385
15,-0.6176486,-2.1582031,-0.15309453
16,-0.9609103,-5.6879954,-3.3141515
17,9.212149,-1.968091,-6.846132
18,-8.476654,2.6177921,8.434868
19,-4.8304777,2.8170593,3.595189
20,0.432981,-0.16328979,-0.8167286
21,-0.78527117,0.1927371,0.045157433
22,-0.2404995,0.12026167,-0.63321114
23,-0.79323816,0.06525326,-0.4504652
24,-0.4195819,-0.15623021,-0.38969994
25,-0.40250492,-0.08129287,-0.18122292
26,0.21971655,-0.35765433,-0.19781399
27,-0.09788561,-0.3643968,-0.19775724
28,-0.37077093,0.08978844,-0.21648312
29,-0.31021357,-0.08035016,0.6166067
30,-0.4788971,-0.10245085,-0.12583017
31,-0.21829224,-0.09778619,0.07653761
32,-0.27604342,-0.05970192,-0.024749279
33,-0.2286272,-0.045894384,-0.17236423
34,-0.2644987,-0.033879757,-0.1755538
35,-0.2568326,-0.11527157,-0.043959618
36,-0.15125036,-0.10567951,-0.22067833
37,-0.19705963,-0.09108424,-0.15384197
38,-0.2659731,-0.022383451,-0.24865961
39,-0.3684125,-0.08122015,-0.09789896
40,-0.2078247,-0.12046957,-0.17767382
41,-0.36485147,-0.027503967,-0.30102348
