index,x,y,z
0,-0.3640219,-0.06593132,-0.8939538
1,-0.5980004,0.19981956,-0.21313667
2,0.727879,-0.18955994,1.7678108
3,-0.3757457,0.3295641,-0.9109645
4,0.056229264,0.22698498,-0.25587773
5,0.09550512,0.18388939,-0.80513406
6,0.07094884,0.3122301,-0.7263899
7,0.10730177,0.22017479,-0.77602434
8,0.12603414,0.27382565,-0.7978146
9,0.47412527,0.15482235,-1.6014717
10,-0.10869211,3.5518684,1.2256327
11,-1.4970222,5.5790396,3.8790379
12,-0.3173895,-0.050149918,1.6587759
13,-0.092805624,-5.178616,0.12420654
14,-0.0654093,-5.071575,-0.40991116
15,0.3398919,-0.31686783,-1.6992095
16,1.6389257,0.26231003,-0.0701378
17,2.3681388,-0.45700932,0.96200955
18,2.7317047,-1.5027752,0.6289634
19,1.5598516,-3.4380383,-0.68978965
20,-0.4672954,-2.3635921,-0.10530114
21,-2.7689884,-0.28294563,-0.10125446
22,-2.9594016,1.655324,-1.911665
23,-3.4920146,0.57812786,-1.828228
24,-2.470065,-0.22084618,-0.81995344
25,-1.2057722,1.8819094,1.2016616
26,3.0840096,1.1944466,1.8235888
27,3.6530175,0.20185947,0.94307184
28,0.621631,-0.5105071,0.35707474
29,0.34580588,0.72010994,0.08731556
30,0.18634462,0.19090557,-0.7106128
31,0.15756893,0.27282906,-0.7689228
32,0.2837293,0.27502728,-0.6483445
33,-0.08638358,0.37123013,-0.76615715
34,0.11041033,0.31446648,-0.53598166
35,0.16148293,0.24816227,-0.6209717
36,0.051954508,0.24822617,-0.6058407
