index,x,y,z
0,-0.03597462,-0.20479965,-0.013312817
1,0.24577153,-0.021796227,0.32218766
2,-0.9806998,-0.23250484,0.6881392
3,-7.0709586,0.8025007,-2.8728137
4,-3.1013088,-1.0471869,-1.7911766
5,6.0152526,-2.5784173,3.0035684
6,2.8913543,-2.317047,2.1006172
7,0.6194334,-4.731856,-3.5171611
8,1.4817957,-0.27017403,-0.013920069
9,0.10293406,4.0662336,3.4851284
10,5.572977,1.3545065,5.816564
11,3.3772514,-1.5727701,2.4520707
12,-3.620739,-2.7966976,-0.65302396
13,-6.9398556,-1.0543852,-0.8147721
14,-6.483641,-1.7390399,-2.0813427
15,1.8416184,-0.6494131,1.7507448
16,6.5388412,-2.3000631,5.8368945
17,1.2972403,-4.508381,-2.3486018
18,3.3130686,-1.159203,-3.5908742
19,-1.8220906,5.643529,10.734781
20,3.2028441,-0.6587839,2.690741
21,-4.1248803,-2.8771238,-2.046246
22,-4.8344765,-1.2220373,-0.63677883
23,-0.57142186,-0.3228321,-0.43730068
24,0.6289313,-0.035812378,-0.5311198
