index,x,y,z
0,0.83386093,-0.6012907,0.9720602
1,1.0675967,-0.30372238,0.28056812
2,0.73523074,-0.32737923,1.437475
3,1.1288004,-0.49999523,1.5407953
4,0.6324402,-0.43586445,0.57066154
5,1.0304916,-0.54805756,0.9731798
6,0.86380696,-0.35930347,1.1085863
7,0.9784664,-0.5090208,1.2011347
8,0.9026196,-0.3915758,0.58428335
9,0.73372495,-0.44265556,1.0221031
10,0.7758981,-0.45214462,0.80013394
11,-0.3131291,0.28974342,0.48740935
12,-6.4381294,1.1492891,-3.2575345
13,4.8691235,-3.5856986,3.2528753
14,-0.035755754,-0.7943673,-0.68568087
15,-0.75667447,-4.48256,0.17781591
16,2.9774485,-0.5819497,-3.3027525
17,0.8913566,1.8942862,5.6047235
18,5.1003284,-3.668973,4.8986816
19,2.834,-3.227911,1.4815831
20,-6.480979,1.9533072,-0.8646183
21,-4.770372,0.6983862,1.3231869
22,-4.4012504,1.0974574,-2.201566
23,5.550644,-3.9251645,2.1169567
24,2.7933693,-2.8878827,3.1649952
25,-1.3962646,-1.48843,-0.298079
26,-1.9491767,-3.3880012,-3.679609
27,1.7356458,0.6805048,2.946783
28,2.5893598,-0.36226225,3.645132
29,2.7288432,-4.7438745,1.3332849
30,-0.027550697,-2.252049,-1.2911911
31,-2.302109,1.5773683,1.0165029
32,-0.018735647,-0.30564308,1.4190149
33,1.1176624,-0.95330954,0.26191616
34,1.669636,-0.93549013,0.13543606
