index,x,y,z
0,-0.034958743,-0.04696083,0.11415744
1,-0.10591593,-0.056019783,0.110143185
2,0.06237337,-0.046751976,0.25806963
3,-0.13140464,-0.022400856,-0.012478113
4,-2.988342,0.38793278,-1.2351102
5,-3.5444365,-0.20028782,-1.3087436
6,-0.8359982,-0.5836668,-1.670558
7,3.8945594,-1.3648739,2.2393098
8,0.9581623,-0.42987442,1.3416715
9,-0.6260824,-2.384275,-0.463372
10,-1.144998,-4.4431047,-0.18153119
11,1.0118155,0.76960087,-1.9215429
12,0.65219045,4.3994465,0.392941
13,2.184638,0.9471798,2.3336792
14,4.8521304,-1.4226751,2.85034
15,1.3226235,-1.1541238,0.23730516
16,-5.099371,0.58189964,-0.81171846
17,-3.6025434,-0.13031483,0.18770266
18,-5.149738,0.03543091,-1.8530064
19,-2.9752088,-0.72648716,0.2720394
20,0.74538934,-0.4146242,-0.013895512
21,5.354292,-1.6333842,3.688592
22,0.6141764,-0.81204605,0.38925838
23,-0.27525127,-3.2285643,-1.1686311
24,1.0927305,-2.5053253,-3.5082676
25,1.0154237,1.9918218,-0.069205284
26,0.21971714,4.5681863,3.1697974
27,3.689677,-0.18684101,2.9337707
28,2.6538315,-0.8949237,1.2812004
29,-4.2702923,-1.7355227,-0.6615448
30,-1.9404975,-0.43682003,-0.095053196
31,-0.8710233,0.012514114,-0.2838273
32,0.075704336,0.09465504,-0.37709522
