index,x,y,z
0,-0.12005198,0.009037018,0.0032653809
1,0.07076317,-0.06822872,0.022524357
2,-0.049316257,-0.05125904,-0.041391373
3,-0.100247115,-0.07803154,-0.16310668
4,-0.2621926,-0.17149162,-0.48528385
5,0.20423788,0.16876125,-0.04960227
6,-0.0988366,-0.043685913,0.08649945
7,0.17139977,-0.13977432,-0.22232509
8,0.9267262,0.05956459,-0.5011723
9,2.86392,0.28771782,0.9393363
10,4.107842,-0.76533604,1.4551544
11,-0.7298008,-1.7509742,-0.121976614
12,-2.5522861,-0.6106968,-0.8011999
13,-1.5637958,0.19881248,-1.1278486
14,-3.9322615,-0.05535698,-0.73637533
15,-3.0487056,-1.1449251,0.43424177
16,1.2206606,-0.68504906,0.33723474
17,2.733348,-0.9849167,0.18331599
18,0.2928676,-2.9556966,0.1897726
19,2.2034402,-2.1154208,-1.9911077
20,-0.4886303,4.1644278,-1.0652814
21,-0.75070715,2.4968996,0.30721855
22,-0.8083905,-0.18179226,-0.11836004
23,0.2738632,-0.10990715,0.08234978
24,0.037886143,0.16013336,-0.3399186
25,-0.09538293,-0.026682854,0.04111862
26,0.22249138,-0.05965042,-0.17054033
27,0.012163043,-0.01554203,0.10400581
