index,x,y,z
0,-0.22768724,-0.0047864914,0.0022354126
1,-0.3379364,0.044330597,0.010252953
2,-0.3392986,-0.028269768,0.016432285
3,-0.13083923,-0.041440964,-0.037899256
4,-0.37493837,-0.03660679,-0.4503703
5,-0.10102582,-0.24575424,0.5125756
6,0.3652501,0.091630936,0.27838588
7,3.8963768,-0.39091492,0.9793353
8,2.959784,-0.9005432,2.7476535
9,-1.4906285,-1.4472685,1.7726076
10,-1.2069241,-1.5228729,1.0887868
11,-3.0757942,0.34933853,-0.29242718
12,-4.6186533,0.9998846,-1.414842
13,-4.686534,-0.18573952,-0.89716375
14,-0.6071342,-1.7681241,-0.7304071
15,2.307194,-0.9048786,0.86035895
16,0.36315137,-2.3811836,1.5364089
17,-0.5135488,-4.485855,-0.7778952
18,2.6570463,-1.7447124,-2.651092
19,-1.8429136,5.30828,2.5626774
20,-0.8841213,1.4202557,1.5143423
21,0.28238237,-0.57762,-0.4498663
22,-0.1823523,0.114542484,0.1391325
23,-0.26482633,0.0004286766,0.18239975
24,0.05257061,-0.02442646,-0.39972496
25,-0.2492302,-0.13896179,0.31852245
