index,x,y,z
0,0.65567976,-0.098394394,-0.56751096
1,0.44318137,0.09658623,-0.5030534
2,0.79040754,-0.31921387,-0.19254482
3,0.56484234,0.13814259,-0.7010273
4,0.42120853,0.13263512,-0.4715892
5,0.6052784,-0.03737259,-0.3096038
6,0.610901,-0.0033502579,-0.62105024
7,0.5899983,0.015432358,-0.6891161
8,0.6253679,0.029191017,-0.46910846
9,0.14672413,0.12824345,-0.5922828
10,1.1591613,-0.16596794,-0.18007553
11,0.45097396,0.15043163,-0.5576016
12,0.6002221,-0.06580925,-0.38976324
13,0.5296464,0.036483765,-0.52508116
14,0.479217,0.050266266,-0.2606008
15,0.54969174,-0.021662712,-0.48900664
16,0.59630543,0.06465626,-0.43928683
17,0.4949875,0.085354805,-0.44024038
18,0.47846273,-0.051225662,-0.36483347
19,0.24759743,-0.7867527,-0.09460902
20,1.0799414,-5.335823,1.521806
21,1.0048603,-6.5139475,-0.4370012
22,5.3014827,-1.5498142,-3.1335623
23,-8.162132,6.8559556,8.96491
24,0.2497766,1.3247623,-0.47173548
25,2.5772424,1.224339,0.9032216
26,1.5908679,0.6886864,2.5292635
27,-2.2124562,-1.3709464,-3.5424984
28,-4.0128403,-1.3752875,-0.8201628
29,-1.0230591,0.61371803,-0.71887445
30,-0.012213469,0.46362734,-0.010517597
31,0.008069277,0.12938356,-0.5487051
32,-0.24418998,0.2306447,-0.31777477
33,-0.15339398,0.30172968,-0.7397189
34,-0.17377305,0.40067148,-0.34550762
35,-0.20590305,0.28966284,-0.69559956
36,-0.19732285,0.31034565,-0.5371332
37,-0.119940996,0.3404274,-0.71348524
38,-0.24467349,0.25861216,-0.5446534
39,-0.26420498,0.33877563,-0.4332013
40,-0.28336096,0.27968073,-0.5676713
41,-0.09932041,0.36152315,-0.6623802
42,-0.2690065,0.29274416,-0.3037076
43,-0.25576496,0.29865503,-0.60739136
