index,x,y,z
0,-0.49161792,-0.028700829,0.11181635
1,-0.037531376,0.013932228,0.16276866
2,0.09456539,-0.067970276,0.08637422
3,-0.2032299,-0.08710861,-0.26590562
4,0.74888396,0.04297352,0.8950085
5,-1.3799148,1.1818247,1.0337622
6,-4.0523863,0.52465916,0.7903484
7,-3.7517018,-1.1001301,-0.34238267
8,-2.886846,-1.8790936,-2.300414
9,-3.2732434,-2.6200438,-1.0860393
10,-0.7868242,-3.2485132,-2.2462013
11,1.0528178,-2.3299217,-1.477198
12,4.522473,-1.8797712,0.7742171
13,5.324561,-1.0410032,3.5097523
14,1.4342514,-1.2403641,3.4813607
15,0.2955227,-0.7136555,4.184107
16,-1.1815634,-2.301446,0.75236523
17,-2.6858997,-2.431316,-3.2152796
18,-2.467133,-0.33457565,-2.3090034
19,-5.2207317,1.0094862,-1.3153181
20,-3.8654747,-0.09314394,3.07685
21,2.0575569,-1.6062708,2.794982
22,1.5645266,-1.3872328,0.29100275
23,0.42110628,-0.26050806,-0.8464408
24,0.16423804,-0.03315401,-0.10761452
25,-0.107536554,0.14076233,-0.12852716
26,-0.3087058,-0.010661602,0.09686899
27,-0.16527677,0.055983543,-0.4143319
28,-0.07183623,-0.052339554,-0.0057234764
29,-0.35204864,0.003314972,-0.20455694
30,-0.23860145,-0.0051751137,0.004971504
31,-0.2617005,-0.0114302635,-0.12656164
32,-0.3396653,-0.0020394325,-0.25193977
33,-0.10335088,-0.07933426,0.02206707
34,-0.16808283,0.056634426,-0.17994595
35,-0.41539478,-0.01386404,-0.105079174
36,-0.15789843,0.040524006,-0.086835384
37,-0.29130268,0.05035305,-0.40595913
38,-0.38583887,-0.07235575,-0.03498602
39,-0.14812028,-0.022752762,-0.31891727
40,-0.07535112,-0.008682728,0.016905308
41,-0.16258645,-0.060242653,-0.031062126
42,-0.27962387,0.026074886,-0.31601715
43,-0.16851091,-0.022033215,0.05011797
44,-0.1865362,-0.054019928,-0.0615139
45,-0.19668388,0.023285389,-0.15429115
46,-0.2380017,-0.02835989,-0.3699565
