index,x,y,z
0,-0.19289565,-0.04100895,-0.36215806
1,-0.72167826,-0.09954357,-0.062363952
2,-0.3663597,-0.23965359,-0.46942323
3,-0.3181417,-0.13843346,-0.23154056
4,-0.22939539,-0.19438076,-0.17002824
5,-0.39177132,-0.12512684,-0.17095292
6,-0.44793797,-0.1631794,-0.18257043
7,-0.2637651,-0.15658474,-0.18415987
8,-0.31920028,-0.18509197,-0.14494103
9,-0.44554186,-0.1767273,-0.17138118
10,-0.32542086,-0.22745132,-0.13230503
11,-0.2816081,-0.1517601,-0.20288426
12,-0.2730391,-0.14037704,-0.0926919
13,-0.33707356,-0.1603365,-0.15271312
14,-0.45584345,-0.19502258,-0.068961024
15,-0.36058068,-0.19714928,-0.01901728
16,-0.35067487,-0.21711445,-0.3293934
17,0.02818942,-0.29924107,-0.12336844
18,0.20231366,0.18140697,-0.1706329
19,-0.054811478,1.5640202,1.1606857
20,-4.2577534,1.0754623,2.0616884
21,-2.5615962,-0.6855469,-0.44389987
22,-2.4250312,-2.661706,-1.2456441
23,-2.4772773,-2.5691118,-2.7285051
24,-3.3083873,-1.833539,-2.616057
25,0.839437,-1.7174249,-1.8113186
26,-0.5721898,-0.9493909,-2.1824012
27,1.2363162,-1.7855136,-0.64632845
28,2.5204902,-2.1988797,2.4483914
29,2.4276607,-0.8544202,1.1586051
30,1.7058034,-0.17718267,3.735355
31,-1.3938243,-0.3342309,2.8279252
32,-0.80465263,-1.7160254,1.4376297
33,-0.4697157,-1.6565094,-0.047409177
34,0.51445174,-1.7493753,-0.7569593
35,-0.7529168,-1.9163046,0.49922967
36,-2.9682167,-1.7282028,-1.0822659
37,-1.0988879,-0.5786023,-1.4070115
38,-1.7959146,-0.24553394,-3.496211
39,-4.0675483,0.7259979,-1.7149968
40,-4.6057267,0.46191025,3.9055314
41,-0.8639171,0.76207066,4.624469
42,1.0536733,-0.7562332,3.510747
43,1.3117561,-2.9733315,-0.34628153
44,1.3200786,-2.3702497,-1.9090588
45,-0.72194314,-0.3524866,-1.5724492
46,-1.1346307,0.9550667,-0.420362
47,-0.20040119,0.5285797,0.5738354
48,-0.020882964,0.060912132,-0.4549055
49,-0.018001676,-0.009037018,-0.50670195
50,-0.07374346,0.19435215,0.09850025
51,-0.47606337,0.120391846,-0.29839087
52,-0.21163714,0.0069646835,-0.3594122
53,-0.043114305,0.07154846,-0.35362673
54,0.023559153,0.01951027,-0.265409
55,-0.43687704,0.117409706,-0.3410387
56,-0.054573238,-0.015569687,-0.25731707
57,-0.32483658,0.003777504,0.008855343
